token	corpus_slbl_historique	corpus_discours
(	328	0
)	328	0
,	147	0
.	106	0
高昌	64	0
壁画	63	0
公元	62	0
罽	56	0
石窟	54	0
第	53	0
传	51	0
龟兹	50	0
希腊人	42	0
宾	42	0
艺术	40	0
页	39	0
钱币	39	0
身毒	39	0
于阗	36	0
王	36	0
汉书	35	0
波斯	34	0
出现	33	0
商人	31	0
王朝	31	0
后汉书	31	0
月氏	31	0
遗址	31	0
于阗国	30	0
汉朝	29	0
据	29	0
条	27	0
帝国	27	0
唐朝	27	0
大月氏	26	0
出土	26	0
和田	26	0
合浦	26	0
/	25	0
日本	25	0
可能	25	0
匈奴	25	0
控制	25	0
班超	25	0
国王	25	0
裸体	24	0
特里亚	24	0
描绘	24	0
巴克	24	0
中原	24	0
天竺	24	0
诸国	23	0
路线	23	0
南道	23	0
西汉	23	0
汉武帝	23	0
开通	23	0
统治	22	0
西北	22	0
徐闻	22	0
大夏	22	0
班固	22	0
最为	21	0
王国	21	0
传说	21	0
东汉	21	0
西行	20	0
西北部	20	0
克孜尔	19	0
唐代	19	0
希腊	19	0
大宛	19	0
莫高窟	19	0
关于	19	0
风格	19	0
唐太宗	18	0
北	18	0
河西走廊	18	0
阗	18	0
始发	18	0
罗马帝国	18	0
…	18	0
阿富汗	18	0
都城	17	0
另外	17	0
佛像	17	0
说法	17	0
史记	17	0
葱岭	17	0
西	17	0
资料	17	0
the	17	0
却	17	0
来源	17	0
虽然	17	0
画面	16	0
德国	16	0
～	16	0
地理	16	0
李希霍芬	16	0
犍	16	0
陀罗	16	0
疏勒	16	0
内地	15	0
各地	15	0
西南	15	0
甚至	15	0
乌	15	0
东	15	0
高昌国	15	0
麹	15	0
记述	15	0
海外	15	0
盆地	15	0
寺院	15	0
帕提亚	15	0
南方	15	0
The	15	0
因此	14	0
物品	14	0
而且	14	0
玉石	14	0
在位	14	0
长	14	0
鄯善	14	0
因	14	0
两汉	14	0
汉	13	0
列传	13	0
除了	13	0
沿	13	0
之后	13	0
玉门关	13	0
派	13	0
地中海	13	0
一时期	13	0
地理学家	13	0
范晔	13	0
出产	13	0
所以	13	0
南北朝	13	0
城	13	0
高附	13	0
二年	13	0
明州	13	0
流行	13	0
此地	13	0
详细	13	0
直接	13	0
南	12	0
富庶	12	0
佛事	12	0
甘肃	12	0
美玉	12	0
指	12	0
见	12	0
南海	12	0
东西	12	0
北道	12	0
洞窟	12	0
交通路线	12	0
古罗马	12	0
文书	12	0
非常	12	0
其后	12	0
郡	12	0
航行	12	0
因为	12	0
离	11	0
大致	11	0
中期	11	0
左右	11	0
希腊化	11	0
以前	11	0
此外	11	0
玄奘	11	0
游牧民族	11	0
马	11	0
秅	11	0
遣使	11	0
Soter	11	0
乌弋山	11	0
pp	11	0
Megas	11	0
8	11	0
蚕种	11	0
至少	10	0
赴	10	0
衰落	10	0
迅速	10	0
公主	10	0
蚕丝	10	0
提到	10	0
境内	10	0
赏赐	10	0
中亚地区	10	0
已有	10	0
大港	10	0
and	10	0
悬度	10	0
外来	10	0
珍贵	10	0
昆仑山	10	0
以东	10	0
我国	10	0
历代	10	0
"	10	0
of	10	0
伊朗	10	0
阳关	10	0
比较	10	0
青海	10	0
窟	10	0
作	10	0
原来	10	0
斯坦因	10	0
骑马	9	0
大概	9	0
柔然	9	0
艺术风格	9	0
贞观	9	0
盛行	9	0
昌城	9	0
此时	9	0
石窟群	9	0
兴盛	9	0
方位	9	0
似乎	9	0
此后	9	0
处于	9	0
图	9	0
先后	9	0
丝	9	0
较	9	0
交通线	9	0
25	9	0
色彩	9	0
p	9	0
衣服	9	0
汗国	9	0
城内	9	0
东段	9	0
文泰	9	0
开凿	9	0
派遣	9	0
绚丽多彩	9	0
商路	9	0
广东	9	0
菩萨	9	0
汉廷	9	0
出版	9	0
欧	9	0
者	9	0
直到	9	0
名称	9	0
昌盛	9	0
欧亚大陆	9	0
航线	9	0
大国	9	0
占据	9	0
变化	9	0
争夺	9	0
丝织品	9	0
征服	9	0
取代	9	0
斯基泰	9	0
陆路	8	0
司马迁	8	0
扩张	8	0
之地	8	0
物产	8	0
武威	8	0
元代	8	0
里斯	8	0
楼兰	8	0
几乎	8	0
中有	8	0
Indo	8	0
相当	8	0
首都	8	0
明显	8	0
东南	8	0
表现	8	0
整个	8	0
波斯湾	8	0
一般	8	0
叙利亚	8	0
大约	8	0
塔里木盆地	8	0
喀布尔	8	0
皇帝	8	0
巴基斯坦	8	0
一段	8	0
市舶司	8	0
属国	8	0
显然	8	0
所谓	8	0
安	8	0
东部	8	0
货物	8	0
现存	8	0
造船	8	0
大都	8	0
颇	8	0
家族	8	0
附近	8	0
汉文	8	0
é	8	0
可见	8	0
无名	8	0
库车	8	0
强盛	8	0
著作	8	0
建筑	7	0
东海	7	0
西安	7	0
另	7	0
本土	7	0
河口	7	0
不久	7	0
公里	7	0
W	7	0
莎车	7	0
宋代	7	0
来往	7	0
突厥	7	0
安史之乱	7	0
米	7	0
向西	7	0
意思	7	0
从而	7	0
注意	7	0
制品	7	0
击败	7	0
Cambridge	7	0
保存	7	0
无	7	0
镇	7	0
路上	7	0
Casson	7	0
后期	7	0
令	7	0
途经	7	0
情景	7	0
一种	7	0
结果	7	0
藏经洞	7	0
塞	7	0
规模宏大	7	0
天山	7	0
南下	7	0
命名	7	0
这位	7	0
阴末	7	0
统一	7	0
UniversityPress	7	0
然后	7	0
四年	7	0
南部	7	0
称	7	0
北麓	7	0
等等	7	0
文献	7	0
沿海	7	0
均	7	0
她们	7	0
Periplus	7	0
分为	7	0
特征	7	0
宗教信仰	7	0
犁	6	0
觐见	6	0
古墓	6	0
西段	6	0
戈壁	6	0
南宋	6	0
海丰	6	0
小乘	6	0
名城	6	0
供养人	6	0
龟兹王	6	0
河	6	0
未	6	0
户	6	0
扩建	6	0
;	6	0
三条	6	0
Maris	6	0
交易	6	0
志	6	0
丝织业	6	0
with	6	0
立下	6	0
线路	6	0
Commentary	6	0
张掖	6	0
中华书局	6	0
亦	6	0
唐宋	6	0
丰厚	6	0
作者	6	0
尤	6	0
记	6	0
Translation	6	0
西汉时	6	0
北凉	6	0
佛国	6	0
逾	6	0
于阗时	6	0
带	6	0
南行	6	0
西行求	6	0
糅合	6	0
节	6	0
维摩	6	0
罗布泊	6	0
封为	6	0
受	6	0
希腊语	6	0
陶瓷	6	0
千佛洞	6	0
回鹘	6	0
确实	6	0
波	6	0
外	6	0
阚爽	6	0
Strabo	6	0
飞天	6	0
Text	6	0
越	6	0
巴米	6	0
歌舞	6	0
西王母	6	0
丝线	6	0
兵丁	6	0
留存	6	0
布置	6	0
车师	6	0
遭到	6	0
Introduction	6	0
费尔干纳	6	0
至于	6	0
只能	6	0
Lionel	6	0
丰满	6	0
旅行	6	0
2400	6	0
艺术史	6	0
属	6	0
运	6	0
以西	6	0
发达	6	0
碎叶	6	0
法国	6	0
因素	6	0
Erythraei	6	0
故乡	6	0
大乘	6	0
外贸	6	0
十四年	6	0
衣料	6	0
广义	6	0
海路	6	0
名将	6	0
玉带	6	0
尉迟	6	0
斯特拉	6	0
绢	6	0
广泛传播	6	0
墓室	6	0
接触	6	0
占领	6	0
僧众	6	0
所说	6	0
往往	6	0
北宋	6	0
尤其	6	0
越葱岭	6	0
阿拉伯人	6	0
介绍	6	0
交汇	6	0
大将军	6	0
某	6	0
孔雀	6	0
诘	6	0
伊吾	6	0
详见	6	0
寺	6	0
居住	6	0
代表性	5	0
克拉	5	0
出口	5	0
相继	5	0
罗斯	5	0
六年	5	0
输入	5	0
北部	5	0
史上	5	0
行至	5	0
国土	5	0
士兵	5	0
游牧	5	0
文物	5	0
一世	5	0
一块	5	0
特殊	5	0
条支	5	0
史料	5	0
48	5	0
绝远	5	0
康居	5	0
是从	5	0
in	5	0
王小华	5	0
年间	5	0
莲花	5	0
因而	5	0
细布	5	0
责任编辑	5	0
丝质	5	0
两晋	5	0
乌孙	5	0
大象	5	0
中断	5	0
特点	5	0
考察	5	0
建国	5	0
复杂	5	0
绘画	5	0
里克	5	0
坦	5	0
Vima	5	0
西汉时期	5	0
古典	5	0
33	5	0
诸如	5	0
故城	5	0
帝王	5	0
北非	5	0
白龙堆	5	0
Bopearachchi	5	0
铜	5	0
大秦	5	0
中西	5	0
唐	5	0
便	5	0
东北	5	0
向东	5	0
考证	5	0
宣扬	5	0
对此	5	0
本地	5	0
此道	5	0
赛	5	0
口	5	0
以南	5	0
建有	5	0
种类	5	0
部落	5	0
该	5	0
乌头	5	0
内部	5	0
提德	5	0
日后	5	0
变得	5	0
简称	5	0
上古	5	0
显示	5	0
出售	5	0
王子	5	0
有所	5	0
其子	5	0
利润	5	0
使得	5	0
縣度	5	0
五千	5	0
历史背景	5	0
49	5	0
王室	5	0
库什	5	0
山	5	0
之前	5	0
63	5	0
克	5	0
蚕茧	5	0
传教	5	0
运用	5	0
头	5	0
繁盛	5	0
之外	5	0
遗迹	5	0
军事	5	0
出海	5	0
多种	5	0
塞斯	5	0
A	5	0
to	5	0
米南德	5	0
Greeks	5	0
宝石	5	0
西方人	5	0
华丽	5	0
丹丹	5	0
世纪末	5	0
人物	5	0
后裔	5	0
中印关系	5	0
后者	5	0
初年	5	0
蜀地	5	0
前后	5	0
蚕	5	0
知道	5	0
蚕桑	5	0
新疆地区	5	0
庆元	5	0
蒙古高原	5	0
占廷	5	0
无疑	5	0
韩国	5	0
文忠	5	0
幕为	5	0
一段时间	5	0
沿岸	5	0
1877	5	0
象牙	5	0
河南	5	0
看出	5	0
贵妇人	4	0
女性	4	0
既然	4	0
闻名于世	4	0
327	4	0
Eucratides	4	0
喜爱	4	0
侵入	4	0
气候	4	0
有名	4	0
灭亡	4	0
迁徙	4	0
骆驼	4	0
末年	4	0
永平	4	0
人像	4	0
余太山	4	0
古希腊	4	0
Geography	4	0
若羌	4	0
宏伟	4	0
印	4	0
碰撞	4	0
占有	4	0
基地	4	0
于贵霜	4	0
发掘	4	0
姑墨	4	0
缫丝	4	0
商道	4	0
玳瑁	4	0
库里	4	0
词	4	0
焉耆	4	0
割据	4	0
最有	4	0
Saka	4	0
逐步	4	0
垄断	4	0
运到	4	0
并非	4	0
宏大	4	0
费迪南	4	0
外交关系	4	0
重地	4	0
西藏	4	0
越窑	4	0
秦汉	4	0
只	4	0
奇妙	4	0
身体	4	0
后经	4	0
葬	4	0
一词	4	0
提及	4	0
藏	4	0
魏晋	4	0
出入	4	0
浓厚	4	0
墓	4	0
距	4	0
经由	4	0
地理位置	4	0
图像	4	0
bactriennes	4	0
商船	4	0
最终	4	0
1993	4	0
靬	4	0
珊瑚	4	0
安条克	4	0
第一次	4	0
中道	4	0
锡	4	0
中段	4	0
蕃	4	0
迫使	4	0
多件	4	0
高丽	4	0
北上	4	0
相似	4	0
grecques	4	0
冠以	4	0
冯	4	0
S	4	0
茧	4	0
担任	4	0
点	4	0
塔	4	0
co	4	0
历时	4	0
London	4	0
锡尔河	4	0
张一平	4	0
河北	4	0
吐谷浑	4	0
风帆	4	0
国道	4	0
西部	4	0
贩运	4	0
洛阳	4	0
三线	4	0
二者	4	0
伊拉克	4	0
证实	4	0
李氏	4	0
小国	4	0
O	4	0
方法	4	0
父子	4	0
丝织	4	0
哈拉	4	0
充分反映	4	0
长沙	4	0
Catalogue	4	0
3884	4	0
载	4	0
经济繁荣	4	0
丘	4	0
别国	4	0
相同	4	0
乳房	4	0
区别	4	0
阿克苏	4	0
不得而知	4	0
亚历山大城	4	0
阎膏珍	4	0
遗存	4	0
风俗习惯	4	0
中以	4	0
周穆王	4	0
极其重要	4	0
Hermaeus	4	0
47	4	0
东国	4	0
一点	4	0
便是	4	0
被称作	4	0
贵族	4	0
定于	4	0
织成	4	0
太守	4	0
佛法	4	0
展示	4	0
两条	4	0
诸	4	0
整理	4	0
India	4	0
奉献	4	0
基本上	4	0
琉古	4	0
攻打	4	0
专门	4	0
很快	4	0
张	4	0
张骞通	4	0
和田玉	4	0
率	4	0
雕塑	4	0
汉初	4	0
et	4	0
屯田	4	0
徐闻县	4	0
以往	4	0
一度	4	0
远远	4	0
德米特里	4	0
北新道	4	0
距今	4	0
多处	4	0
甘	4	0
西突厥	4	0
神话	4	0
精美	4	0
推行	4	0
数月	4	0
黄帝	4	0
帕米尔	4	0
1991	4	0
葡萄酒	4	0
画	4	0
称王	4	0
统治者	4	0
须弥山	4	0
干道	4	0
定居	4	0
会合	4	0
荷兰	4	0
题材	4	0
哈密	4	0
奉	4	0
路西	4	0
价格	4	0
瞿萨旦	4	0
采用	4	0
大汉	4	0
今日	4	0
应是	4	0
例如	4	0
塞人	4	0
贸易往来	4	0
阿姆河	4	0
新纪元	4	0
悠久	4	0
令人	4	0
相对	4	0
Monnaies	4	0
设在	4	0
上海博物馆	4	0
边缘	4	0
220	4	0
织造	4	0
厄立特里亚	4	0
青金石	4	0
那位	4	0
适合	4	0
遣唐使	4	0
参见	4	0
学术界	4	0
数量	4	0
兜	4	0
新石器	4	0
文为	4	0
位置	4	0
一书中	4	0
带有	4	0
一艘	4	0
五代	4	0
奇	4	0
商代	4	0
中原地区	4	0
相邻	4	0
东非	4	0
再度	4	0
汉使	4	0
159	4	0
古道	4	0
汤用彤	4	0
治所	4	0
西传	4	0
隋唐	4	0
四个	4	0
东起	4	0
穿	4	0
玉	3	0
一百年	3	0
匹绢	3	0
巨大作用	3	0
所知	3	0
官方	3	0
枸杞	3	0
高鼻深目	3	0
进出口	3	0
2921	3	0
艺术家	3	0
皮山	3	0
劳	3	0
塔克拉玛干大沙漠	3	0
惊人	3	0
实物	3	0
女娲	3	0
依附	3	0
贵重	3	0
499	3	0
人体	3	0
粟特文	3	0
便成	3	0
市舶	3	0
邑	3	0
全国	3	0
有时	3	0
晶莹	3	0
纺织	3	0
黄河流域	3	0
塑像	3	0
英雄	3	0
北魏太	3	0
λ	3	0
失掉	3	0
北凉王	3	0
之时	3	0
状态	3	0
络绎不绝	3	0
而来	3	0
大唐帝国	3	0
辅佐	3	0
听法	3	0
造诣	3	0
9670	3	0
咸和	3	0
欲滴	3	0
所灭	3	0
佛前	3	0
权力	3	0
联姻	3	0
部族	3	0
何为	3	0
卓	3	0
豪门	3	0
三年	3	0
似丹	3	0
正统	3	0
41	3	0
黄玉	3	0
仪式	3	0
写经	3	0
陵前	3	0
都护府	3	0
所绘舞	3	0
值得一提的是	3	0
安阳	3	0
此前	3	0
提举	3	0
关键点	3	0
记账	3	0
请	3	0
邻近地区	3	0
湾	3	0
大大	3	0
雄壮	3	0
总称	3	0
身	3	0
木构	3	0
前凉	3	0
装饰	3	0
巧妙	3	0
一蹶不振	3	0
汉人	3	0
西连	3	0
林立	3	0
性爱	3	0
耕作	3	0
宾王	3	0
马什哈德	3	0
汉港	3	0
纺织业	3	0
艳红	3	0
数十	3	0
2922	3	0
塞尔	3	0
东返	3	0
39	3	0
31	3	0
五个	3	0
讲经	3	0
推测	3	0
32000	3	0
1982	3	0
铺上	3	0
兴旺	3	0
分岔	3	0
踩	3	0
克什米尔地区	3	0
亚麻布	3	0
纺制	3	0
信奉	3	0
捐毒	3	0
安西	3	0
贵霜人	3	0
花鸟	3	0
男女	3	0
一处	3	0
画家	3	0
肥硕	3	0
航路	3	0
冬天	3	0
彩塑	3	0
伎	3	0
Bactriaand	3	0
描绘出	3	0
珍珠	3	0
起自	3	0
笔墨	3	0
兰州	3	0
阿斯塔那	3	0
福建	3	0
华夏文化	3	0
派兵	3	0
www	3	0
政治局面	3	0
杰作	3	0
塔恩	3	0
降伏	3	0
希腊式	3	0
活跃	3	0
伏羲	3	0
清楚	3	0
畅销	3	0
三国	3	0
发源	3	0
树脂	3	0
式	3	0
出行	3	0
敦煌学	3	0
曾多次	3	0
赫赫战功	3	0
玛瑙	3	0
较大	3	0
馈赠	3	0
汉魏	3	0
一百多年	3	0
此载	3	0
毒	3	0
造像	3	0
命	3	0
http	3	0
知晓	3	0
画像	3	0
世界性	3	0
于是	3	0
干鲜果品	3	0
骁卫	3	0
襟怀	3	0
No	3	0
吸收	3	0
美妙	3	0
战国时期	3	0
土崩瓦解	3	0
笔下	3	0
节日	3	0
指从	3	0
行像	3	0
族	3	0
关	3	0
ο	3	0
海之滨	3	0
欧亚非	3	0
不愧	3	0
矣	3	0
还分	3	0
献	3	0
性感	3	0
各式	3	0
少女	3	0
边疆	3	0
尉迟敬德	3	0
中后期	3	0
这时	3	0
杀	3	0
文字	3	0
王都	3	0
301	3	0
鸠	3	0
透露	3	0
排列	3	0
赶走	3	0
帛画	3	0
元素	3	0
地表	3	0
于阗河	3	0
206	3	0
玻璃	3	0
大臣	3	0
住宅	3	0
销往	3	0
一部	3	0
神像	3	0
其一	3	0
一门	3	0
中西合璧	3	0
其东通	3	0
座	3	0
遗物	3	0
四郡	3	0
言	3	0
成都	3	0
鲧	3	0
多样	3	0
91	3	0
历任	3	0
长达	3	0
唐天宝	3	0
坦荡	3	0
引进	3	0
氏	3	0
185	3	0
继位	3	0
留在	3	0
半裸	3	0
体形	3	0
元朝	3	0
雅丹	3	0
铅	3	0
郡县	3	0
早年	3	0
地名	3	0
玉龙	3	0
嘉	3	0
经变	3	0
诸多方面	3	0
盛大	3	0
余年	3	0
美国	3	0
蛹	3	0
长途贩运	3	0
很大	3	0
小规模	3	0
考虑	3	0
翠绿	3	0
丰茂	3	0
西经	3	0
珠帘	3	0
察哈台	3	0
且末	3	0
一部分	3	0
遣子入	3	0
com	3	0
画板	3	0
人体艺术	3	0
此类	3	0
有以	3	0
对外贸易	3	0
上台	3	0
扬州	3	0
器物	3	0
陇西	3	0
产物	3	0
故	3	0
卷发	3	0
礼遇	3	0
想	3	0
或作	3	0
史	3	0
白皙	3	0
ε	3	0
东渐	3	0
手法	3	0
此处	3	0
丝衣	3	0
侍	3	0
乌兹别克斯坦	3	0
外国人	3	0
洋洋大观	3	0
Harvard	3	0
西南部	3	0
阶下	3	0
与其	3	0
57	3	0
造型	3	0
汉族	3	0
特产	3	0
形貌	3	0
魔王	3	0
色泽	3	0
及金带	3	0
拉赫	3	0
圆润	3	0
长崎	3	0
玉器	3	0
生丝	3	0
毗	3	0
构图	3	0
不相上下	3	0
聚会	3	0
南线	3	0
文史	3	0
起国	3	0
没药	3	0
侍女	3	0
学家	3	0
中约	3	0
提倡	3	0
农具	3	0
高僧	3	0
沃土	3	0
东王公	3	0
传闻	3	0
自称为	3	0
掀开	3	0
磐	3	0
怛	3	0
58	3	0
举世罕见	3	0
伊斯坦布尔	3	0
番君	3	0
南移	3	0
余姚	3	0
隆重	3	0
千姿百态	3	0
遂	3	0
想像力	3	0
唐高宗	3	0
真实写照	3	0
让给	3	0
[	3	0
布帛	3	0
大批	3	0
赐姓	3	0
实际上	3	0
东征	3	0
横卧	3	0
谢	3	0
将领	3	0
蔡	3	0
归	3	0
大观	3	0
通路	3	0
前来	3	0
博带	3	0
塞种	3	0
茶叶	3	0
精绝	3	0
音译	3	0
管辖区	3	0
2700	3	0
Kabul	3	0
稳定下来	3	0
366	3	0
盛情款待	3	0
欧泰德姆斯	3	0
奄	3	0
宽衣	3	0
夸张	3	0
研究者	3	0
擅长	3	0
不仅仅	3	0
图中	3	0
高昌王	3	0
功德	3	0
听	3	0
摩	3	0
阿拉科	3	0
尉迟氏	3	0
艳丽	3	0
黑润	3	0
632	3	0
那个	3	0
文和	3	0
明末	3	0
横贯	3	0
黄如	3	0
攻灭	3	0
财富	3	0
Tochari	3	0
过渡	3	0
东传	3	0
2012	3	0
Histories	3	0
法状	3	0
大片	3	0
83000	3	0
常有	3	0
停留	3	0
奈良	3	0
很深	3	0
金银	3	0
南路	3	0
胡人	3	0
不过	3	0
伏羲女娲	3	0
请求	3	0
中途	3	0
渲染	3	0
肯定	3	0
黑海	3	0
官营	3	0
Richthofen	3	0
管辖	3	0
补给	3	0
头像	3	0
有无	3	0
唐军攻	3	0
神庙	3	0
正赶上	3	0
转	3	0
Ⅺ	3	0
汉族人	3	0
举世	3	0
呈现出	3	0
情怀	3	0
多平方米	3	0
多重	3	0
或是	3	0
大部分	3	0
德	3	0
毁弃	3	0
贩	3	0
Mass	3	0
一万余	3	0
摧毁	3	0
极为	3	0
常乐	3	0
长途	3	0
万	3	0
大型	3	0
作家	3	0
借助	3	0
重重叠叠	3	0
石刻	3	0
吐鲁番地区	3	0
以至于	3	0
唯一	3	0
Raisonn	3	0
番禺	3	0
绚丽	3	0
精兵	3	0
平定	3	0
一百多	3	0
敦煌石窟	3	0
交汇处	3	0
127	3	0
唐人	3	0
笔法	3	0
三危山	3	0
写照	3	0
492	3	0
如漆	3	0
护	3	0
一年一度	3	0
唐肃宗	3	0
曙	3	0
随唐	3	0
黄骅市	3	0
着意	3	0
Gr	3	0
统辖	3	0
王公贵族	3	0
三四	3	0
α	3	0
洁白	3	0
ν	3	0
闻名	3	0
阚伯周	3	0
棉布	3	0
学科	3	0
茶	3	0
必经之地	3	0
法显	3	0
东晋	3	0
武功	3	0
毫不掩饰	3	0
那里	3	0
直至	3	0
旦	3	0
尼雅	3	0
伸展到	3	0
种种	3	0
狱犯	3	0
推断	3	0
类似	3	0
M	3	0
塔克拉玛干沙漠	3	0
远销	3	0
局势	3	0
卓绝	3	0
19300	3	0
鸣沙山	3	0
围	3	0
琴棋	3	0
1988	3	0
大流士	3	0
欧洲人	3	0
故得	3	0
喀尔	3	0
粟特	3	0
此人	3	0
始建	3	0
译经	3	0
倾力	3	0
加之	3	0
问	3	0
发行	3	0
栩栩如生	3	0
详实	3	0
三角洲	3	0
正史	3	0
两道	3	0
呢	3	0
等级	3	0
战略要地	3	0
1600	3	0
女神	3	0
反复	3	0
治	3	0
天池	3	0
一个月	3	0
难	3	0
南洋	3	0
汉化	3	0
北魏	3	0
30000	3	0
行旅	3	0
北岸	3	0
苏合香	3	0
引起	3	0
65	3	0
尉迟乙僧	3	0
名扬四海	3	0
202	3	0
第七	3	0
容屈	3	0
殷墟	3	0
昔日	3	0
民丰	3	0
真正	3	0
罗什	3	0
南朝	3	0
昭陵	3	0
画廊	3	0
这块	3	0
跋质	3	0
骠骑	3	0
那国	3	0
注	3	0
观	3	0
棕肤	3	0
制成	3	0
转运	3	0
唐初	3	0
徐福	3	0
青瓷	3	0
唐军	3	0
厘米	3	0
海舶	3	0
瑰宝	3	0
始于	3	0
丰碑	3	0
尉迟胜	3	0
做成	3	0
所绘	3	0
沙门	3	0
万件	3	0
青釉	3	0
边境	3	0
审美观念	3	0
穿着	3	0
蜜蜡	3	0
佛教徒	3	0
阿育王	3	0
卡拉奇	3	0
西北地区	3	0
墓葬	3	0
窑	3	0
占	3	0
藩属	3	0
宴乐	3	0
东运之路	3	0
残片	3	0
东汉时期	3	0
臀部	3	0
秦锦褥	3	0
张骏	3	0
首次	3	0
供奉	3	0
帆	3	0
汉明帝	3	0
发音	3	0
休养生息	3	0
名贵	3	0
无价	3	0
锦袍	3	0
一件	3	0
有人	3	0
Demetrius	3	0
姿态	3	0
怀圣寺	3	0
行业	3	0
源源不断	3	0
乐女	3	0
波比	3	0
可达	3	0
河西	3	0
唐末	3	0
富丽堂皇	3	0
大水	3	0
Hunza	3	0
暑热	3	0
沉重打击	3	0
墓志	3	0
印绶	3	0
此名	3	0
西来	3	0
46	3	0
史学家	3	0
其郡治	3	0
或者	3	0
天水	3	0
外来文化	3	0
陪葬	3	0
准确	3	0
史籍	3	0
砖质	3	0
Taktu	3	0
越发	3	0
数万	3	0
精妙	3	0
密切关系	3	0
郡治	3	0
不朽	3	0
乃至	3	0
显而易见	3	0
乞丐	3	0
退出	3	0
右	3	0
62	3	0
石像	3	0
女子	3	0
较量	3	0
376	3	0
抗衡	3	0
增多	3	0
史书	3	0
王位	3	0
浇灌	3	0
西邻	3	0
场面	3	0
东至	3	0
仅仅	3	0
上半身	3	0
?	3	0
45000	3	0
轰动	3	0
大胆	3	0
羊脂玉	3	0
固原	3	0
迁移	3	0
和田河	3	0
其造金	3	0
于阗王	3	0
